"","gene_ids[which(is_high)]"
"1","KPN_00215"
"2","KPN_00218"
"3","KPN_00219"
"4","KPN_00258"
"5","KPN_00499"
"6","KPN_00500"
"7","KPN_00502"
"8","KPN_00509"
"9","KPN_00510"
"10","KPN_00515"
"11","KPN_00521"
"12","KPN_00757"
"13","KPN_00769"
"14","KPN_00792"
"15","KPN_00793"
"16","KPN_00795"
"17","KPN_00796"
"18","KPN_00797"
"19","KPN_01149"
"20","KPN_01150"
"21","KPN_01151"
"22","KPN_01152"
"23","KPN_01493"
"24","KPN_01494"
"25","KPN_01725"
"26","KPN_01836"
"27","KPN_02911"
"28","KPN_02912"
"29","KPN_02970"
"30","KPN_03139"
"31","KPN_03140"
"32","KPN_03160"
"33","KPN_03339"
"34","KPN_03340"
"35","KPN_03341"
"36","KPN_03675"
"37","KPN_03677"
"38","KPN_03678"
"39","KPN_03679"
"40","KPN_03815"
"41","KPN_03949"
"42","KPN_04012"
"43","KPN_04128"
"44","KPN_04161"
"45","KPN_04163"
"46","KPN_04164"
"47","KPN_04188"
"48","KPN_04189"
"49","KPN_04203"
"50","KPN_04204"
"51","KPN_04257"
"52","KPN_04260"
"53","KPN_04261"
"54","KPN_04345"
"55","KPN_04348"
"56","KPN_04349"
"57","KPN_04389"
"58","KPN_04391"
"59","KPN_04392"
"60","KPN_04433"
"61","KPN_04434"
"62","KPN_04529"
"63","KPN_04669"
"64","KPN_04670"
"65","KPN_04671"
"66","KPN_04673"
"67","KPN_04674"
"68","KPN_04675"
"69","KPN_04676"
"70","KPN_04677"
"71","KPN_04684"
"72","KPN_04686"
"73","KPN_04744"
"74","KPN_04746"
"75","KPN_04747"
"76","KPN_04772"
"77","KPN_04833"
